date,pollution_0,pollution_1,pollution_2,pollution_3,pollution_4,pollution_5,pollution_6,pollution_7,pollution_8,pollution_9,pollution_10,pollution_11,pollution_12,pollution_13,pollution_14,pollution_15,pollution_16,pollution_17,pollution_18,pollution_19,pollution_20,pollution_21,pollution_22,pollution_23,temp_0,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,temp_13,temp_14,temp_15,temp_16,temp_17,temp_18,temp_19,temp_20,temp_21,temp_22,temp_23,wndspd_0,wndspd_1,wndspd_2,wndspd_3,wndspd_4,wndspd_5,wndspd_6,wndspd_7,wndspd_8,wndspd_9,wndspd_10,wndspd_11,wndspd_12,wndspd_13,wndspd_14,wndspd_15,wndspd_16,wndspd_17,wndspd_18,wndspd_19,wndspd_20,wndspd_21,wndspd_22,wndspd_23
2010-01-02,4.867534450455582,5.003946305945459,5.075173815233827,5.204006687076795,4.9344739331306915,4.700480365792417,4.663439094112067,4.8283137373023015,4.795790545596741,4.890349128221754,4.948759890378168,5.030437921392435,5.003946305945459,5.10594547390058,5.0689042022202315,5.043425116919247,5.075173815233827,5.10594547390058,5.14166355650266,5.0106352940962555,5.043425116919247,5.10594547390058,5.056245805348308,4.844187086458591,-4,-4,-5,-5,-5,-6,-6,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,1.0260415958332743,1.3029127521808397,1.5195132049061133,1.8500283773520307,1.9810014688665833,2.096790180014449,2.295560478057081,2.4612967841488667,2.6034301519721073,2.72785282839839,2.9139797716817317,3.070839746040796,3.206398303357088,3.3572454941329726,3.4882920885130893,3.6041382256588457,3.6516966629862204,3.697095608885277,3.7718409748282835,3.8122026701459353,3.8509983035903717,3.9154172384961616,3.975936331171799,4.033000931981049
2010-01-03,4.51085950651685,4.1588830833596715,4.189654742026425,4.02535169073515,4.189654742026425,4.430816798843313,4.5217885770490405,4.465908118654584,4.418840607796598,4.465908118654584,4.3694478524670215,4.59511985013459,4.68213122712422,4.51085950651685,4.574710978503383,4.564348191467836,4.465908118654584,4.2626798770413155,4.127134385045092,3.9889840465642745,4.276666119016055,4.290459441148391,4.343805421853684,4.30406509320417,-6,-6,-7,-7,-7,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-11,4.086984207815808,4.138201945285877,4.200354866721424,4.246206911531347,4.3021714094244174,4.3551691805039985,4.405498990859024,4.453416630760555,4.5090997172373575,4.552402120449436,4.59390699370938,4.642465970731788,4.672174414768565,4.7250842826534285,4.76779910943631,4.808763878057586,4.83397766692674,4.858571324462998,0.6365768290715511,1.0224509277025458,1.6134299337036377,2.0980179272527715,2.498973906999436,2.72785282839839
2010-01-04,4.382026634673881,4.07753744390572,3.258096538021482,3.295836866004329,3.367295829986474,3.295836866004329,3.044522437723423,3.4011973816621555,3.295836866004329,3.332204510175204,3.332204510175204,3.258096538021482,3.4011973816621555,3.4965075614664802,3.367295829986474,3.4011973816621555,3.4339872044851463,3.4339872044851463,3.367295829986474,3.295836866004329,3.4657359027997265,3.5263605246161616,3.4011973816621555,3.4657359027997265,-12,-9,-10,-11,-11,-12,-12,-13,-13,-13,-12,-12,-11,-10,-10,-9,-9,-11,-11,-12,-12,-13,-13,-15,2.8384934971274993,3.131136910560194,3.432372999130605,3.708191765146309,3.9064072666425105,4.040767961318708,4.186771802468027,4.314149212270796,4.405498990859024,4.518849479521564,4.620649756836477,4.696928611227632,4.775334812511415,4.854994615883632,4.922313968589491,4.985385859842805,5.033114075856682,5.078667704488082,5.1142142236716515,5.148540441229809,5.199159795014818,5.23787710273662,5.279745980962601,5.295563578351415
2010-01-05,3.4339872044851463,3.5553480614894135,3.332204510175204,3.258096538021482,3.367295829986474,3.367295829986474,3.332204510175204,3.332204510175204,3.332204510175204,3.4011973816621555,3.6109179126442243,3.4339872044851463,3.332204510175204,3.6888794541139363,3.7376696182833684,3.5263605246161616,3.9318256327243257,4.04305126783455,4.0943445622221,4.110873864173311,4.442651256490317,4.672828834461906,4.204692619390966,3.9318256327243257,-17,-18,-19,-18,-19,-16,-16,-16,-16,-15,-14,-13,-12,-11,-11,-11,-11,-11,-11,-13,-12,-18,-13,-16,5.311134870258651,5.330784556685538,5.345820989192004,5.369008794670569,5.391671088281245,1.7783364488959144,2.2027647577118348,2.698673039289613,2.984671326194566,3.2422016501716975,3.418054498728578,3.5675589188773804,3.6975913947159578,3.740997408376043,0.6365768290715511,1.0260415958332743,1.5216989981260935,1.851599469584072,2.0992441689760155,2.4239173781615704,2.668616131856803,2.865053949911875,3.071303460401065,3.2068032436339315
2010-01-06,4.04305126783455,4.356708826689592,3.9318256327243257,3.8066624897703196,3.332204510175204,3.367295829986474,3.091042453358316,3.258096538021482,3.044522437723423,3.4011973816621555,3.5553480614894135,3.7612001156935624,3.367295829986474,3.6109179126442243,3.8918202981106265,3.912023005428146,3.970291913552122,4.04305126783455,4.574710978503383,4.330733340286331,4.663439094112067,4.890349128221754,4.543294782270004,4.882801922586371,-17,-14,-14,-14,-14,-14,-14,-15,-14,-13,-12,-11,-10,-10,-9,-8,-8,-9,-9,-14,-12,-14,-16,-16,3.326114575537799,1.6134299337036377,2.201659174404085,2.6979998652487085,2.9375733593804587,3.205993199037187,3.3877743613300146,3.541538866215227,3.697095608885277,3.8122026701459353,3.9330014118133376,4.0249944840873075,4.0943445622221,1.6134299337036377,1.918392120161421,0.6365768290715511,1.0260415958332743,1.5216989981260935,1.851599469584072,0.6365768290715511,1.0260415958332743,1.5216989981260935,1.851599469584072,2.0992441689760155
2010-01-07,4.852030263919617,4.875197323201151,3.784189633918261,3.6375861597263857,3.4339872044851463,3.367295829986474,3.2188758248682006,3.1780538303479458,3.2188758248682006,3.332204510175204,3.713572066704308,3.7612001156935624,3.7612001156935624,4.02535169073515,3.970291913552122,3.9512437185814275,4.060443010546419,3.9318256327243257,4.007333185232471,4.219507705176107,4.672828834461906,5.075173815233827,5.293304824724492,5.25227342804663,-16,-16,-18,-15,-16,-15,-15,-13,-14,-12,-11,-10,-9,-8,-7,-7,-8,-9,-11,-11,-15,-14,-14,-16,2.2975725511705014,0.371563556432483,0.85015092936961,1.6134299337036377,2.0980179272527715,2.423031246069913,2.72785282839839,1.7783364488959144,1.6134299337036377,2.2965670206684825,2.6361960973342264,2.8384934971274993,3.006672213592325,3.0914968955383704,3.169685580677429,3.2422016501716975,3.3098128198603027,3.37314078387963,0.6365768290715511,1.0260415958332743,1.0260415958332743,0.371563556432483,0.85015092936961,1.172482137234565
2010-01-08,5.351858133476067,5.278114659230517,5.62040086571715,5.10594547390058,4.709530201312334,4.61512051684126,4.406719247264253,4.276666119016055,4.204692619390966,4.532599493153256,4.912654885736052,5.049856007249537,5.293304824724492,5.5254529391317835,5.303304908059076,5.44673737166631,5.5254529391317835,5.3612921657094255,5.393627546352362,5.429345628954441,5.424950017481403,5.420534999272286,5.1298987149230735,5.135798437050262,-17,-16,-16,-15,-15,-15,-15,-13,-12,-12,-10,-10,-9,-8,-8,-8,-8,-8,-9,-11,-12,-14,-9,-11,1.0260415958332743,1.5216989981260935,0.6365768290715511,0.6365768290715511,0.371563556432483,0.85015092936961,1.0260415958332743,0.6365768290715511,0.6365768290715511,1.0224509277025458,0.6365768290715511,0.6365768290715511,1.4182774069729414,1.7783364488959144,0.6365768290715511,1.0224509277025458,1.3001916620664788,0.6365768290715511,0.371563556432483,0.85015092936961,1.0260415958332743,1.0260415958332743,1.7783364488959144,2.0425181875752383
2010-01-09,5.111987788356544,5.075173815233827,5.123963979403259,5.2832037287379885,5.135798437050262,5.049856007249537,4.787491742782046,4.672828834461906,4.543294782270004,4.442651256490317,4.30406509320417,4.204692619390966,3.713572066704308,3.912023005428146,3.9318256327243257,3.912023005428146,3.7376696182833684,3.6375861597263857,3.828641396489095,3.8066624897703196,4.007333185232471,3.9318256327243257,3.871201010907891,4.204692619390966,-13,-13,-14,-15,-13,-16,-15,-15,-14,-9,-7,-6,-6,-5,-4,-4,-4,-4,-7,-6,-7,-6,-8,-8,0.6365768290715511,1.4182774069729414,1.7783364488959144,2.2027647577118348,2.3832429960115,2.698673039289613,2.9381031607173544,3.131136910560194,3.2928695047765273,1.918392120161421,2.5352828571130672,2.9139797716817317,3.1880041612011136,3.3727979071404572,3.528710701961115,3.6402142821326553,3.686125665917315,1.0260415958332743,1.4182774069729414,1.4182774069729414,1.7783364488959144,1.4182774069729414,0.371563556432483,0.6418538861723947
2010-01-10,4.330733340286331,4.418840607796598,4.204692619390966,4.430816798843313,4.143134726391533,3.713572066704308,3.1780538303479458,3.258096538021482,3.332204510175204,3.58351893845611,3.9318256327243257,4.2626798770413155,4.330733340286331,4.07753744390572,4.2626798770413155,4.23410650459726,4.276666119016055,4.48863636973214,4.442651256490317,4.430816798843313,4.204692619390966,3.332204510175204,3.2188758248682006,3.1354942159291497,-11,-13,-12,-13,-14,-13,-13,-14,-14,-12,-7,-7,-7,-6,-6,-5,-5,-6,-7,-6,-6,-4,-4,-5,0.6365768290715511,1.0224509277025458,1.776645831418007,2.201659174404085,2.382320061012899,2.6361960973342264,2.8384934971274993,3.006672213592325,3.150596984114906,3.2244602031621015,1.6134299337036377,1.4182774069729414,1.9823798288367047,2.340843805111136,2.604170070614818,2.7285062096695922,2.8390784635086144,3.007166651179654,3.188416617383492,3.341801171705499,3.4468078929142076,3.5923685537330927,3.8124236402053913,3.9761239308346696
2010-01-11,3.1780538303479458,3.332204510175204,3.1780538303479458,2.8903717578961645,2.8903717578961645,2.833213344056216,2.833213344056216,3.044522437723423,3.044522437723423,2.9444389791664403,3.258096538021482,3.295836866004329,3.332204510175204,3.367295829986474,2.772588722239781,3.2188758248682006,2.6390573296152584,2.6390573296152584,2.6390573296152584,2.8903717578961645,3.044522437723423,3.332204510175204,3.044522437723423,2.772588722239781,-6,-8,-11,-11,-11,-12,-12,-13,-9,-10,-9,-9,-6,-5,-5,-5,-5,-5,-7,-7,-8,-10,-13,-12,4.116758157059,0.6365768290715511,1.6134299337036377,2.2965670206684825,1.6134299337036377,1.4182774069729414,1.7783364488959144,1.918392120161421,2.698673039289613,3.1315734964654043,3.4031953843248286,3.528710701961115,3.761665123839584,3.9504741918023987,4.094511215001422,4.20707783220934,4.290048397777529,4.355297574931857,4.416548827045609,4.463952184072554,4.50920979484218,4.528721013824685,4.547858819274978,0.6365768290715511
